date,gamePk,p_home_v2,p_home_v3,home_won
2026-07-10,824575,0.7795,0.7781,1
2026-07-10,823685,0.7488,0.6871,0
2026-07-10,823033,0.3842,0.3537,1
2026-07-10,824817,0.6523,0.6038,1
2026-07-10,824493,0.3594,0.3894,1
2026-07-10,822955,0.6664,0.5596,1
2026-07-10,823200,0.6419,0.4832,0
2026-07-10,823604,0.3567,0.4141,0
2026-07-10,824252,0.6966,0.6956,1
2026-07-10,822709,0.557,0.6158,0
2026-07-10,822878,0.5894,0.5948,1
2026-07-10,823278,0.4814,0.5117,0
2026-07-10,823845,0.6131,0.6494,0
2026-07-10,823357,0.4894,0.4664,0
2026-07-11,823682,0.786,0.7744,1
2026-07-11,823276,0.3681,0.4492,1
2026-07-11,823356,0.3121,0.3391,1
2026-07-11,823030,0.3603,0.4287,1
2026-07-11,824576,0.742,0.7614,1
2026-07-11,823926,0.7809,0.7389,0
2026-07-11,823603,0.3738,0.4083,0
2026-07-11,824813,0.6715,0.6099,1
2026-07-11,824249,0.6761,0.6968,0
2026-07-11,824492,0.3853,0.445,0
2026-07-11,823844,0.6302,0.6822,0
2026-07-11,822875,0.585,0.6099,0
2026-07-11,822953,0.559,0.5337,1
2026-07-11,822711,0.4962,0.4721,0
2026-07-11,823198,0.5068,0.481,1
2026-07-12,823602,0.3186,0.3527,0
2026-07-12,823029,0.4778,0.5454,0
2026-07-12,823681,0.6521,0.6951,1
2026-07-12,823842,0.5847,0.5784,0
2026-07-12,824250,0.6349,0.6582,0
2026-07-12,824814,0.6705,0.6675,1
2026-07-12,822708,0.4858,0.5512,0
2026-07-12,823199,0.572,0.5788,1
2026-07-12,824491,0.4273,0.3548,0
2026-07-12,822876,0.5341,0.5963,1
2026-07-12,823274,0.4705,0.4624,1
2026-07-12,822951,0.5691,0.5977,0
2026-07-12,823925,0.6341,0.6444,0
2026-07-12,824574,0.5692,0.6849,1
2026-07-16,823440,0.4803,0.5507,0
2026-07-17,823524,0.5864,0.612,0
2026-07-17,824090,0.4026,0.4464,1
2026-07-17,824009,0.2837,0.3805,0
2026-07-17,824766,0.6698,0.6913,1
2026-07-17,824737,0.6372,0.6514,1
2026-07-17,825060,0.4563,0.489,0
2026-07-17,824332,0.5544,0.5853,0
2026-07-17,823766,0.634,0.579,1
2026-07-17,824981,0.3944,0.3147,0
2026-07-17,823115,0.6518,0.5496,0
2026-07-17,822789,0.5521,0.5316,0
2026-07-17,824170,0.4925,0.4831,0
2026-07-17,824901,0.6428,0.6881,1
2026-07-17,824414,0.5101,0.4799,0
2026-07-17,824655,0.5466,0.5445,0
2026-07-18,824899,0.6651,0.6565,0
2026-07-18,822790,0.3838,0.314,1
2026-07-18,824088,0.5764,0.5318,1
2026-07-18,824008,0.234,0.2914,0
2026-07-18,823116,0.4997,0.5017,1
2026-07-18,824657,0.4887,0.524,1
2026-07-18,824979,0.3858,0.3464,1
2026-07-18,824738,0.7184,0.7158,1
2026-07-18,824169,0.4428,0.4218,0
2026-07-18,825059,0.5654,0.5078,1
2026-07-18,823763,0.6059,0.5987,1
2026-07-18,823441,0.6284,0.6033,1
2026-07-18,823523,0.5285,0.5347,0
2026-07-18,824412,0.4821,0.4622,1
2026-07-18,824414,0.5101,0.4759,0
2026-07-18,824331,0.5007,0.4283,1
2026-07-19,824007,0.1989,0.2119,1
2026-07-19,824978,0.259,0.2879,0
2026-07-19,824330,0.514,0.4603,0
2026-07-19,825057,0.6338,0.5613,1
2026-07-19,824739,0.7068,0.7137,1
2026-07-19,824168,0.4337,0.4241,0
2026-07-19,824897,0.639,0.577,1
2026-07-19,823439,0.5522,0.5087,0
2026-07-19,824411,0.452,0.3923,0
2026-07-19,823523,0.5005,0.5429,0
2026-07-19,823764,0.5778,0.6073,1
2026-07-19,824086,0.535,0.6071,0
2026-07-19,824653,0.5841,0.5624,1
2026-07-19,823113,0.5722,0.6031,1
2026-07-19,823521,0.4955,0.5163,1
2026-07-20,824328,0.3334,0.3381,0
2026-07-20,823762,0.755,0.7229,1
2026-07-20,824736,0.7017,0.6835,1
2026-07-20,824898,0.6462,0.6516,1
2026-07-20,824167,0.4719,0.4479,1
2026-07-20,822874,0.4593,0.5373,0
2026-07-20,823112,0.5769,0.6015,1
2026-07-20,825058,0.7957,0.8106,0
2026-07-20,824654,0.5402,0.4612,0
2026-07-20,824087,0.53,0.479,1
2026-07-20,824006,0.4787,0.484,1
2026-07-21,824005,0.6161,0.5826,1
2026-07-21,824165,0.3795,0.5054,1
2026-07-21,822787,0.4288,0.4545,0
2026-07-21,824652,0.4533,0.5345,1
2026-07-21,824895,0.7311,0.6518,0
2026-07-21,824329,0.3463,0.373,1
2026-07-21,825056,0.7541,0.6935,1
2026-07-21,823760,0.6776,0.6726,0
2026-07-21,822871,0.468,0.4555,1
2026-07-21,823437,0.4632,0.5016,0
2026-07-21,824085,0.5173,0.5356,1
2026-07-21,823114,0.5166,0.5662,0
