date,gamePk,p_home_v2,p_home_v3,home_won
2026-07-10,824575,0.7795,0.7781,1
2026-07-10,823685,0.7488,0.6871,0
2026-07-10,823033,0.3842,0.3537,1
2026-07-10,824817,0.6523,0.6038,1
2026-07-10,824493,0.3594,0.3894,1
2026-07-10,822955,0.6664,0.5596,1
2026-07-10,823200,0.6419,0.4832,0
2026-07-10,823604,0.3567,0.4141,0
2026-07-10,824252,0.6966,0.6956,1
2026-07-10,822709,0.557,0.6158,0
2026-07-10,822878,0.5894,0.5948,1
2026-07-10,823278,0.4814,0.5117,0
2026-07-10,823845,0.6131,0.6494,0
2026-07-10,823357,0.4894,0.4664,0
2026-07-11,823682,0.786,0.7744,1
2026-07-11,823276,0.3681,0.4492,1
2026-07-11,823356,0.3121,0.3391,1
2026-07-11,823030,0.3603,0.4287,1
2026-07-11,824576,0.742,0.7614,1
2026-07-11,823926,0.7809,0.7389,0
2026-07-11,823603,0.3738,0.4083,0
2026-07-11,824813,0.6715,0.6099,1
2026-07-11,824249,0.6761,0.6968,0
2026-07-11,824492,0.3853,0.445,0
2026-07-11,823844,0.6302,0.6822,0
2026-07-11,822875,0.585,0.6099,0
2026-07-11,822953,0.559,0.5337,1
2026-07-11,822711,0.4962,0.4721,0
2026-07-11,823198,0.5068,0.481,1
2026-07-12,823602,0.3186,0.3527,0
2026-07-12,823029,0.4778,0.5454,0
2026-07-12,823681,0.6521,0.6951,1
2026-07-12,823842,0.5847,0.5784,0
2026-07-12,824250,0.6349,0.6582,0
2026-07-12,824814,0.6705,0.6675,1
2026-07-12,822708,0.4858,0.5512,0
2026-07-12,823199,0.572,0.5788,1
2026-07-12,824491,0.4273,0.3548,0
2026-07-12,822876,0.5341,0.5963,1
2026-07-12,823274,0.4705,0.4624,1
2026-07-12,822951,0.5691,0.5977,0
2026-07-12,823925,0.6341,0.6444,0
2026-07-12,824574,0.5692,0.6849,1
2026-07-16,823440,0.4803,0.5507,0
